#1
double Kitchen(168,2) # weekly profile of occupancy in kitchen
0	0
2.00	0
3.00	1
4.00	4
5.00	3
6.00	10
7.00	7
8.00	9
9.00	9
10.00	9
11.00	5
12.00	6
13.00	18
14.00	11
15.00	0
16.00	0
17.00	0
18.00	0
19.00	1
20.00	1
21.00	1
22.00	0
23.00	0
24.00	0
25.00	0
26.00	0
27.00	0
28.00	0
29.00	0
30.00	6
31.00	5
32.00	7
33.00	8
34.00	9
35.00	6
36.00	6
37.00	20
38.00	7
39.00	0
40.00	0
41.00	0
42.00	0
43.00	1
44.00	1
45.00	1
46.00	1
47.00	0
48.00	0
49.00	0
50.00	0
51.00	0
52.00	0
53.00	0
54.00	4
55.00	3
56.00	6
57.00	6
58.00	7
59.00	5
60.00	5
61.00	17
62.00	9
63.00	0
64.00	0
65.00	1
66.00	2
67.00	1
68.00	1
69.00	1
70.00	0
71.00	0
72.00	0
73.00	0
74.00	0
75.00	0
76.00	0
77.00	0
78.00	4
79.00	3
80.00	5
81.00	5
82.00	6
83.00	4
84.00	6
85.00	17
86.00	8
87.00	0
88.00	0
89.00	1
90.00	3
91.00	5
92.00	3
93.00	2
94.00	1
95.00	0
96.00	0
97.00	1
98.00	1
99.00	0
100.00	0
101.00	0
102.00	4
103.00	3
104.00	5
105.00	5
106.00	6
107.00	3
108.00	4
109.00	15
110.00	8
111.00	0
112.00	0
113.00	0
114.00	3
115.00	4
116.00	2
117.00	1
118.00	0
119.00	0
120.00	0
121.00	0
122.00	0
123.00	0
124.00	0
125.00	0
126.00	0
127.00	0
128.00	0
129.00	0
130.00	0
131.00	0
132.00	0
133.00	0
134.00	0
135.00	0
136.00	0
137.00	0
138.00	0
139.00	0
140.00	0
141.00	0
142.00	0
143.00	0
144.00	0
145.00	0
146.00	0
147.00	0
148.00	0
149.00	0
150.00	0
151.00	0
152.00	0
153.00	0
154.00	1
155.00	1
156.00	1
157.00	1
158.00	1
159.00	0
160.00	0
161.00	0
162.00	0
163.00	0
164.00	0
