time,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul
0.0,101325.0,0.22113321622768156,0.9709266628844456,277.75,0.0,0.0,0.0,0.85,1.0,360.0,11.3,4.363323129985824,1.0,274.58820019585653,322.0,0.0,2.5720187956871308,-1.0012224688922342,-0.40288613372050763,-775.6123989393079,-3.1979967789263877,280.15,279.0098326278262
900.0,101325.0,0.22113321622768156,0.9709266628844456,277.76093749999995,0.0,0.0,0.0,0.85123046875,1.0,360.0,11.130286458333334,4.363323129985824,1.0,274.57872197135885,321.890625,900.0,2.5734995343186466,-1.00270320752375,-0.40287285802311723,124.10699263945713,-3.1325673383968478,280.1376953125,279.0075822961096
1800.0,101325.0,0.22113321622768156,0.9709266628844456,277.76874999999995,0.0,0.0,0.0,0.8523437500000001,1.0,360.0,10.980625000000002,4.363323129985824,1.0,274.5696543085589,321.8125,1800.0,2.570856768865238,-1.0000604420703416,-0.40285956871626616,1023.8264125352216,-3.0671378958080378,280.1265625,279.00553586046664
2700.0,101325.0,0.22113321622768156,0.9709266628844456,277.7734375,0.0,0.0,0.0,0.85322265625,1.0,360.0,10.865234375,4.363323129985824,1.0,274.56214605840603,321.765625,2700.0,2.5641518953783637,-0.9933555685834672,-0.40284626580061,1923.5458607762362,-3.0017084511579024,280.1177734375,279.00391326671587
3600.0,101325.0,0.22113321622768156,0.9709266628844456,277.775,0.0,0.0,0.0,0.85375,1.0,360.0,10.798333333333334,4.363323129985824,1.0,274.557346016743,321.75,3600.0,2.5535360792966664,-0.9827397525017698,-0.40283294927680513,2823.265337390749,-2.9362790044443883,280.11249999999995,279.0029367535673
4500.0,101325.0,0.22113321622768156,0.9709266628844456,277.7734375,0.0,0.0,0.0,0.8538085937500001,1.0,360.0,10.794140625,4.363323129985824,1.0,274.5564028934693,321.765625,4500.0,2.539235430754384,-0.9684391039594873,-0.4028196191455084,3722.9848424070046,-2.870849555665441,280.1119140625,279.00282811527103
5400.0,101325.0,0.22113321622768156,0.9709266628844456,277.76874999999995,0.0,0.0,0.0,0.85328125,1.0,360.0,10.866875,4.363323129985824,1.0,274.56046528169134,321.8125,5400.0,2.5215309757323983,-0.9507346489375017,-0.40280627540737723,4622.704375853243,-2.805420104819008,280.1171875,279.00380487473996
6300.0,101325.0,0.22113321622768156,0.9709266628844456,277.76093749999995,0.0,0.0,0.0,0.85205078125,1.0,360.0,11.030755208333334,4.363323129985824,1.0,274.57068162685556,321.890625,6300.0,2.5007372399021435,-0.9299409131072469,-0.4027929180630699,5522.4239377577,-2.739990651903034,280.1294921875,279.0060753554418
7200.0,101325.0,0.22113321622768156,0.9709266628844456,277.75,0.0,0.0,0.0,0.85,1.0,360.0,11.3,4.363323129985824,1.0,274.58820019585653,322.0,7200.0,2.477182660424094,-0.9063863336291975,-0.4027795471132453,6422.143528148609,-2.6745611969154663,280.15,279.0098326278262
8100.0,101325.0,0.22113321622768156,0.9709266628844456,277.72734375,0.0,0.0,0.0,0.8475,1.0,360.0,11.641250000000001,4.363323129985824,1.0,274.6073538058397,322.203125,8100.0,2.4511938028775333,-0.8803974760826367,-0.40276616255856285,7321.8631470541995,-2.6091317398542535,280.17499999999995,279.0143674296744
9000.0,101325.0,0.22113321622768156,0.9709266628844456,277.69374999999997,0.0,0.0,0.0,0.845,1.0,360.0,12.0,4.363323129985824,1.0,274.62392206055887,322.5,9000.0,2.4230840787051764,-0.8522877519102798,-0.4027527643996826,8221.582794502696,-2.5437022807173415,280.2,279.01885214630477
9900.0,101325.0,0.22113321622768156,0.9709266628844456,277.66328124999995,0.0,0.0,0.0,0.8425,1.0,360.0,12.358749999999999,4.363323129985824,1.0,274.64122567429723,322.796875,9900.0,2.3931467099976524,-0.8223503832027559,-0.40273935263726546,9121.302470522323,-2.478272819502678,280.22499999999997,279.02328666833074
10800.0,101325.0,0.22113321622768156,0.9709266628844456,277.65,0.0,0.0,0.0,0.84,1.0,360.0,12.7,4.363323129985824,1.0,274.66258884666996,323.0,10800.0,2.361651176173508,-0.7908548493786114,-0.4027259272719727,10021.022175141297,-2.412843356208212,280.25,279.02767088596335
11700.0,101325.0,0.22113321622768156,0.9709266628844456,277.65,0.0,0.0,0.0,0.8375,1.0,360.0,13.025625,4.363323129985824,1.0,274.68480901960567,323.0234375,11700.0,2.3288422239943434,-0.7580458971994468,-0.40271248830446654,10920.741908387832,-2.347413890831891,280.27267219387755,279.02978810780655
