time,Occupancy[1],InternalGainsRad[1],InternalGainsCon[1],InternalGainsLat[1],LowerSetp[1],UpperSetp[1],UpperCO2[1]
0.0,1,47.9999981,47.9999981,23.99999905,288.15,303.15,800
300.0,1,50.002783400000006,50.002783400000006,25.001391700000003,288.15,303.15,800
600.0,1,52.005567,52.005567,26.0027835,288.15,303.15,800
900.0,1,54.0083455,54.0083455,27.004173599999998,288.15,303.15,800
1200.0,1,56.01112825,56.01112825,28.005563699999996,288.15,303.15,800
1500.0,1,58.013911,58.013911,29.0069555,288.15,303.15,800
1800.0,1,60.0166895,60.0166895,30.0083456,288.15,303.15,800
2100.0,1,62.01947225,62.01947225,31.00973655,288.15,303.15,800
2400.0,1,64.022255,64.022255,32.0111275,288.15,303.15,800
2700.0,1,66.02503349999999,66.02503349999999,33.012517599999995,288.15,303.15,800
3000.0,1,68.02781199999998,68.02781199999998,34.01390599999999,288.15,303.15,800
3300.0,1,70.030599,70.030599,35.0152995,288.15,303.15,800
3600.0,1,72.0333775,72.0333775,36.016687899999994,288.15,303.15,800
3900.0,1,74.0361645,74.0361645,37.01808055,288.15,303.15,800
4200.0,1,76.038943,76.038943,38.0194715,288.15,303.15,800
4500.0,1,78.0417215,78.0417215,39.02086245,288.15,303.15,800
4800.0,1,80.04450849999999,80.04450849999999,40.0222551,288.15,303.15,800
5100.0,1,82.047287,82.047287,41.0236435,288.15,303.15,800
5400.0,1,84.05007400000001,84.05007400000001,42.025037000000005,288.15,303.15,800
5700.0,1,86.0528525,86.0528525,43.0264254,288.15,303.15,800
6000.0,1,88.05563949999998,88.05563949999998,44.02781805,288.15,303.15,800
6300.0,1,90.0584095,90.0584095,45.02920645,288.15,303.15,800
6600.0,1,92.0611965,92.0611965,46.030599099999996,288.15,303.15,800
6900.0,1,94.06397500000001,94.06397500000001,47.03198750000001,288.15,303.15,800
7200.0,2,96.06676199999998,96.06676199999998,48.03338099999999,288.15,303.15,800
7500.0,2,98.0695405,98.0695405,49.034769399999995,288.15,303.15,800
7800.0,2,100.0723275,100.0723275,50.03616205,288.15,303.15,800
8100.0,2,102.075106,102.075106,51.037553,288.15,303.15,800
8400.0,2,104.0778845,104.0778845,52.038943950000004,288.15,303.15,800
8700.0,2,106.080663,106.080663,53.0403315,288.15,303.15,800
9000.0,2,108.08345000000001,108.08345000000001,54.041725,288.15,303.15,800
9300.0,2,110.08622850000002,110.08622850000002,55.04311425000001,288.15,303.15,800
9600.0,2,112.08901550000002,112.08901550000002,56.0445069,288.15,303.15,800
9900.0,2,114.091794,114.091794,57.045897,288.15,303.15,800
10200.0,2,116.09457675000002,116.09457675000002,58.04728795,288.15,303.15,800
10500.0,2,118.09735100000002,118.09735100000002,59.04867550000001,288.15,303.15,800
10800.0,2,120.10013800000002,120.10013800000002,60.05006900000001,288.15,303.15,800
11100.0,2,122.10291649999999,122.10291649999999,61.051458249999996,288.15,303.15,800
11400.0,2,124.1057035,124.1057035,62.0528509,288.15,303.15,800
11700.0,2,126.108482,126.108482,63.054241,288.15,303.15,800
12000.0,2,128.111269,128.111269,64.0556345,288.15,303.15,800
12300.0,2,130.1140475,130.1140475,65.05702545,288.15,303.15,800
12600.0,2,132.116826,132.116826,66.058413,288.15,303.15,800
12900.0,2,134.11961300000002,134.11961300000002,67.05980650000001,288.15,303.15,800
13200.0,2,136.1223915,136.1223915,68.06119575,288.15,303.15,800
13500.0,2,138.12517,138.12517,69.062585,288.15,303.15,800
13800.0,2,140.12796550000002,140.12796550000002,70.06397849999999,288.15,303.15,800
14100.0,2,142.130744,142.130744,71.065372,288.15,303.15,800
14400.0,3,144.133514,144.133514,72.066757,288.15,303.15,800
14700.0,3,146.1362925,146.1362925,73.0681505,288.15,303.15,800
15000.0,3,148.13908800000002,148.13908800000002,74.06954400000001,288.15,303.15,800
15300.0,3,150.1418665,150.1418665,75.07093325,288.15,303.15,800
15600.0,3,152.144645,152.144645,76.0723225,288.15,303.15,800
15900.0,3,154.147415,154.147415,77.0737075,288.15,303.15,800
16200.0,3,156.15021050000001,156.15021050000001,78.0751095,288.15,303.15,800
16500.0,3,158.152989,158.152989,79.0764945,288.15,303.15,800
16800.0,3,160.1557675,160.1557675,80.077888,288.15,303.15,800
17100.0,3,162.158546,162.158546,81.079273,288.15,303.15,800
17400.0,3,164.1613415,164.1613415,82.0806665,288.15,303.15,800
17700.0,3,166.16412,166.16412,83.08206,288.15,303.15,800
18000.0,3,168.16689,168.16689,84.083445,288.15,303.15,800
18300.0,3,170.16967699999998,170.16967699999998,85.08483849999999,288.15,303.15,800
18600.0,3,172.172464,172.172464,86.086232,288.15,303.15,800
18900.0,3,174.1752425,174.1752425,87.0876255,288.15,303.15,800
